retriever,recall_at_1,recall_at_3,recall_at_10,precision_at_1,precision_at_3,reciprocal_rank
bm25,0.49416666666666664,0.67,0.759,0.51,0.23666666666666666,0.6041044973544973
dense_minilm,0.4772222222222222,0.6453333333333333,0.7866666666666666,0.49666666666666665,0.23444444444444437,0.597925925925926
